id	title	description	link	image_link	additional_image_link	availability	price	brand	condition	google_product_category	item_group_id	color	size	gender	age_group	expiration_date
972e4ed9-0030-429d-85f9-5b425150bcb4_4	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_c361291e5dbd421eaf0fa5fe447815a1~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	White	S	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_5	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_fba83e42ef5943a8b71097e5373cc7e3~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Blossom	S	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_6	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_f3da6b96a8d742d7b4c2f6a0a4b442c2~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Granite	S	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_7	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_382ea83a35ac4fa9911d207ec518d598~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Pepper	S	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_8	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_c361291e5dbd421eaf0fa5fe447815a1~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	White	M	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_9	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_fba83e42ef5943a8b71097e5373cc7e3~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Blossom	M	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_10	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_f3da6b96a8d742d7b4c2f6a0a4b442c2~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Granite	M	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_11	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_382ea83a35ac4fa9911d207ec518d598~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Pepper	M	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_12	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_c361291e5dbd421eaf0fa5fe447815a1~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	White	L	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_13	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_fba83e42ef5943a8b71097e5373cc7e3~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Blossom	L	female	adult	2026-04-22
